Padrón de Mercaderías;;;;;;
;;;;;;
Fecha de Emision: 26/11/2025 Hora: 10:16;;;;;;
Estados: Activa;;;;;;
Incluyendo Mercaderías sin Fabricante;;;;;;
;;;;;;
Código;Código de Barras;Nombre;Unidad Base;Fabricante;Marca;Tipo Producto
.5411388910006;.5411388910006;NESTOR;;DISHER LTDA;SAVIC;Mercadería / Simple
0.5UP;;DESCUENTO AC 0.5% CADA $50.000;;;;Cuenta Operativa / Otras Cuentas
010031110010408;7908253608628;CORREA ZEE DOG - SELVA - XS;;A Y N;ZEE DOG;Mercadería / Simple
010031110010409;7908253608635;CORREA ZEE DOG - SELVA - S;;A Y N;ZEE DOG;Mercadería / Simple
010031110010410;7908253608642;CORREA ZEE DOG - SELVA - L;;A Y N;ZEE DOG;Mercadería / Simple
01048.048.G;796167946571;FREE FARO CORREA CLÁSICA GUANABARA (G);;FERPLAST;FREE FARO;Mercadería / Simple
01048.048.M;796167946564;FREE FARO CORREA CLÁSICA GUANABARA (M);;FERPLAST;FREE FARO;Mercadería / Simple
01048.048.P;796167946557;FREE FARO CORREA CLÁSICA GUANABARA (P);;FERPLAST;FREE FARO;Mercadería / Simple
01062.062.G;7908661200520;FREE FARO CORREA CLÁSICA CHECKERS (G);;FERPLAST;FREE FARO;Mercadería / Simple
01062.062.M;7908661200513;FREE FARO CORREA CLÁSICA CHECKERS (M);;FERPLAST;FREE FARO;Mercadería / Simple
01062.062.P;7908661200506;FREE FARO CORREA CLÁSICA CHECKERS (P);;FERPLAST;FREE FARO;Mercadería / Simple
01079.079.G;7908661203064;FREE FARO CORREA CLÁSICA DARKEST (G);;FERPLAST;FREE FARO;Mercadería / Simple
01079.079.M;7908661203057;FREE FARO CORREA CLÁSICA DARKEST (M);;FERPLAST;FREE FARO;Mercadería / Simple
01079.079.P;7908661203040;FREE FARO CORREA CLÁSICA DARKEST (P);;FERPLAST;FREE FARO;Mercadería / Simple
01080.080.G;7908661203408;FREE FARO CORREA CLÁSICA LILAC (G);;FERPLAST;FREE FARO;Mercadería / Simple
01080.080.M;7908661203392;FREE FARO CORREA CLÁSICA LILAC (M);;FERPLAST;FREE FARO;Mercadería / Simple
01080.080.P;7908661203385;FREE FARO CORREA CLÁSICA LILAC (P);;FERPLAST;FREE FARO;Mercadería / Simple
02004003;5414736039299;REVOLUTION GATOS - 2.6 A 7.5 KG - 6% - 0.75 ML;;RAICOR;REVOLUTION;Mercadería / Simple
02004005;5414736039312;REVOLUTION PERROS - 5 A 10 KG - 12% - 0.5 ML;;RAICOR;REVOLUTION;Mercadería / Simple
